# addr	region	name  (STT_OBJECT in ROM)
0x082F017C	rom	sWindowTemplate_PlayerNameAndId
0x082F0184	rom	sUnionRoomGroupsMenuItems
0x082F0204	rom	sListMenuTemplate_UnionRoomGroups
0x082F021C	rom	sWindowTemplate_InviteToActivity
0x082F0224	rom	sInviteToActivityMenuItems
0x082F0244	rom	sListMenuTemplate_InviteToActivity
0x082F025C	rom	sWindowTemplate_RegisterForTrade
0x082F0264	rom	sRegisterForTradeListMenuItems
0x082F027C	rom	sListMenuTemplate_RegisterForTrade
0x082F0294	rom	sWindowTemplate_TradingBoardRequestType
0x082F029C	rom	sTradingBoardTypes
0x082F032C	rom	sMenuTemplate_TradingBoardRequestType
0x082F0344	rom	sWindowTemplate_TradingBoardHeader
0x082F034C	rom	sWindowTemplate_TradingBoardMain
0x082F0354	rom	sTradeBoardListMenuItems
0x082F03A4	rom	sTradeBoardListMenuTemplate
0x082F03BC	rom	sWindowTemplate_Unused
0x082F03C4	rom	sEmptyListMenuItems
0x082F0444	rom	sEmptyListMenuTemplate
0x082F045C	rom	sUnionRoomPlayer_DummyRfu
0x082F0474	rom	sAcceptedActivityIds_SingleBattle
0x082F0478	rom	sAcceptedActivityIds_DoubleBattle
0x082F047C	rom	sAcceptedActivityIds_MultiBattle
0x082F0480	rom	sAcceptedActivityIds_Trade
0x082F0484	rom	sAcceptedActivityIds_PokemonJump
0x082F0488	rom	sAcceptedActivityIds_BerryCrush
0x082F048C	rom	sAcceptedActivityIds_BerryPicking
0x082F0490	rom	sAcceptedActivityIds_WonderCard
0x082F0494	rom	sAcceptedActivityIds_WonderNews
0x082F0498	rom	sAcceptedActivityIds_Resume
0x082F04A4	rom	sAcceptedActivityIds_Init
0x082F04A8	rom	sAcceptedActivityIds_Unk11
0x082F04B4	rom	sAcceptedActivityIds_RecordCorner
0x082F04B8	rom	sAcceptedActivityIds_BerryBlender
0x082F04BC	rom	sAcceptedActivityIds_CoolContest
0x082F04C0	rom	sAcceptedActivityIds_BeautyContest
0x082F04C4	rom	sAcceptedActivityIds_CuteContest
0x082F04C8	rom	sAcceptedActivityIds_SmartContest
0x082F04CC	rom	sAcceptedActivityIds_ToughContest
0x082F04D0	rom	sAcceptedActivityIds_BattleTower
0x082F04D4	rom	sAcceptedActivityIds_BattleTowerOpen
0x082F04D8	rom	sAcceptedActivityIds
0x082F0530	rom	sLinkGroupToURoomActivity
0x082F0548	rom	sTextboxBorder_Pal
0x082F0568	rom	sTextboxBorder_Gfx
0x082F0598	rom	sBGTemplates
0x082F05A8	rom	sMainWindows
0x082F05C8	rom	sWindowTemplate_YesNoMsg_Wide
0x082F05D0	rom	sWindowTemplate_YesNoMsg
0x082F05D8	rom	sWindowTemplate_GiftSelect
0x082F05E0	rom	sWindowTemplate_ThreeOptions
0x082F05E8	rom	sWindowTemplate_YesNoBox
0x082F05F0	rom	sWindowTemplate_GiftSelect_3Options
0x082F05F8	rom	sWindowTemplate_GiftSelect_2Options
0x082F0600	rom	sWindowTemplate_GiftSelect_1Option
0x082F0608	rom	sListMenuItems_CardsOrNews
0x082F0620	rom	sListMenuItems_WirelessOrFriend
0x082F0638	rom	sListMenuTemplate_ThreeOptions
0x082F0650	rom	sListMenuItems_ReceiveSendToss
0x082F0670	rom	sListMenuItems_ReceiveToss
0x082F0688	rom	sListMenuItems_ReceiveSend
0x082F06A0	rom	sListMenuItems_Receive
0x082F06B0	rom	sListMenu_ReceiveSendToss
0x082F06C8	rom	sListMenu_ReceiveToss
0x082F06E0	rom	sListMenu_ReceiveSend
0x082F06F8	rom	sListMenu_Receive
0x082F0710	rom	sUnusedMenuTexts
0x082F0720	rom	sTextColors_Header
0x082F0724	rom	sTextColors_Header_Copy
0x082F0728	rom	sMG_Ereader_TextColor_2
0x082F072C	rom	sUnionRoomObjGfxIds
0x082F0740	rom	sUnionRoomPlayerCoords
0x082F0760	rom	sUnionRoomGroupOffsets
0x082F076A	rom	sOppositeFacingDirection
0x082F076F	rom	sMemberFacingDirections
0x082F0774	rom	sUnionRoomLocalIds
0x082F077C	rom	sHidePlayerFlags
0x082F078C	rom	sMovement_UnionPlayerExit
0x082F078E	rom	sMovement_UnionPlayerEnter
0x082F0790	rom	sPalettes
0x082F0990	rom	sBgTiles_Gfx
0x082F0BA0	rom	sBgTiles_Tilemap
0x082F0D34	rom	sBgTemplates
0x082F0D3C	rom	sWindowTemplates
0x082F0D5C	rom	sHeaderTexts
